year,region,industry,subsector_letter,info_type,data
2001,UK,Financial Services,L,Average Total Weekly Hours,8951122.303764766
2001,UK,Professional and Business Services,M,Average Total Weekly Hours,63836438.15905242
2001,UK,Professional and Business Services,N,Average Total Weekly Hours,58131064.67876007
2001,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,52345197.92453624
2001,UK,Education and Health,P,Average Total Weekly Hours,53634342.489377975
2001,UK,Education and Health,Q,Average Total Weekly Hours,81380033.34519945
2001,UK,Leisure and Entertainment,R,Average Total Weekly Hours,19107067.874329824
2001,UK,Other Services,S and T,Average Total Weekly Hours,23296229.79975298
2002,UK,All Industries,All Industries,Average Total Weekly Hours,903517094.1931
2002,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,24732944.871751994
2002,UK,Manufacturing,C,Average Total Weekly Hours,123377563.15875927
2002,UK,Construction,F,Average Total Weekly Hours,72930139.14684366
2002,UK,Trade,G,Average Total Weekly Hours,144855547.45171982
2002,UK,Transport,H,Average Total Weekly Hours,50526268.93207914
2002,UK,Leisure and Entertainment,I,Average Total Weekly Hours,45847492.1026815
2002,UK,Telecoms,J,Average Total Weekly Hours,37761699.70773678
2002,UK,Financial Services,K,Average Total Weekly Hours,37529512.42135872
2002,UK,Financial Services,L,Average Total Weekly Hours,9093386.954426255
2002,UK,Professional and Business Services,M,Average Total Weekly Hours,63042894.725791
2002,UK,Professional and Business Services,N,Average Total Weekly Hours,57740757.97223462
2002,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,53456034.69502291
2002,UK,Education and Health,P,Average Total Weekly Hours,55397467.257981986
2002,UK,Education and Health,Q,Average Total Weekly Hours,84160727.2093242
2002,UK,Leisure and Entertainment,R,Average Total Weekly Hours,19569921.71257429
2002,UK,Other Services,S and T,Average Total Weekly Hours,23494735.872813813
2003,UK,All Industries,All Industries,Average Total Weekly Hours,906028733.960275
2003,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,24602571.821635116
2003,UK,Manufacturing,C,Average Total Weekly Hours,115673570.71768369
2003,UK,Construction,F,Average Total Weekly Hours,73658680.64191434
2003,UK,Trade,G,Average Total Weekly Hours,145242938.10032538
2003,UK,Transport,H,Average Total Weekly Hours,50327612.11296435
2003,UK,Leisure and Entertainment,I,Average Total Weekly Hours,47589146.75617347
2003,UK,Telecoms,J,Average Total Weekly Hours,37882726.262473434
2003,UK,Financial Services,K,Average Total Weekly Hours,37214558.901309825
2003,UK,Financial Services,L,Average Total Weekly Hours,9537379.908703472
2003,UK,Professional and Business Services,M,Average Total Weekly Hours,65012954.861225516
2003,UK,Professional and Business Services,N,Average Total Weekly Hours,57957922.03460543
2003,UK,Public Aadmin and Defence,O,Average Total Weekly Hours,55155973.58078174
2003,UK,Education and Health,P,Average Total Weekly Hours,57342156.47106548
2003,UK,Education and Health,Q,Average Total Weekly Hours,85526491.60442325
2003,UK,Leisure and Entertainment,R,Average Total Weekly Hours,19249139.537900902
2003,UK,Other Services,S and T,Average Total Weekly Hours,24054910.64708954
2004,UK,All Industries,All Industries,Average Total Weekly Hours,907931111.216125
2004,UK,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,24548775.04742837
2004,UK,Manufacturing,C,Average Total Weekly Hours,110521115.09481113
2004,UK,Construction,F,Average Total Weekly Hours,74693427.55262296
2004,UK,Trade,G,Average Total Weekly Hours,145696603.71580592
2004,UK,Transport,H,Average Total Weekly Hours,49040670.7163262
2004,UK,Leisure and Entertainment,I,Average Total Weekly Hours,48952624.320948794
2004,UK,Telecoms,J,Average Total Weekly Hours,36633274.430166736
2004,UK,Financial Services,K,Average Total Weekly Hours,36023407.17509806
2004,UK,Financial Services,L,Average Total Weekly Hours,10002957.26685264
