year,region,industry,subsector_letter,info_type,data
2008,West Midlands,Education and Health,Q,Average Total Weekly Hours,7652614.101441446
2008,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1391449.9112468285
2008,West Midlands,Other Services,S and T,Average Total Weekly Hours,2190475.858274306
2009,West Midlands,All Industries,All Industries,Average Total Weekly Hours,76774551.41184948
2009,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2861999.805157232
2009,West Midlands,Manufacturing,C,Average Total Weekly Hours,10170013.057060197
2009,West Midlands,Construction,F,Average Total Weekly Hours,6279993.637325247
2009,West Midlands,Trade,G,Average Total Weekly Hours,12746845.537751207
2009,West Midlands,Transport,H,Average Total Weekly Hours,4459029.976102581
2009,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3616674.6838204
2009,West Midlands,Telecoms,J,Average Total Weekly Hours,2635418.849606508
2009,West Midlands,Financial Services,K,Average Total Weekly Hours,2493539.2124368027
2009,West Midlands,Financial Services,L,Average Total Weekly Hours,999788.9353074287
2009,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,4461044.482339775
2009,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,4935395.396907667
2009,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3750395.695246852
2009,West Midlands,Education and Health,P,Average Total Weekly Hours,5777709.567464004
2009,West Midlands,Education and Health,Q,Average Total Weekly Hours,8267871.340707893
2009,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1300368.9269439224
2009,West Midlands,Other Services,S and T,Average Total Weekly Hours,2018462.3076717714
2010,West Midlands,All Industries,All Industries,Average Total Weekly Hours,76657955.14597073
2010,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,3028169.3125183103
2010,West Midlands,Manufacturing,C,Average Total Weekly Hours,10458647.713665005
2010,West Midlands,Construction,F,Average Total Weekly Hours,5850132.66382456
2010,West Midlands,Trade,G,Average Total Weekly Hours,12899745.927766956
2010,West Midlands,Transport,H,Average Total Weekly Hours,4380479.300795887
2010,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3467228.79353964
2010,West Midlands,Telecoms,J,Average Total Weekly Hours,2677174.3121084794
2010,West Midlands,Financial Services,K,Average Total Weekly Hours,2541289.784877307
2010,West Midlands,Financial Services,L,Average Total Weekly Hours,945341.9747945166
2010,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,3967352.4440967403
2010,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,5207650.231375735
2010,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3595014.77326882
2010,West Midlands,Education and Health,P,Average Total Weekly Hours,5605512.644830396
2010,West Midlands,Education and Health,Q,Average Total Weekly Hours,8813412.80512119
2010,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1509326.7241815738
2010,West Midlands,Other Services,S and T,Average Total Weekly Hours,1711475.7392056158
2011,West Midlands,All Industries,All Industries,Average Total Weekly Hours,76466127.8052471
2011,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2757685.1712628677
2011,West Midlands,Manufacturing,C,Average Total Weekly Hours,10276476.439662226
2011,West Midlands,Construction,F,Average Total Weekly Hours,5772932.509123292
2011,West Midlands,Trade,G,Average Total Weekly Hours,12443704.765124867
2011,West Midlands,Transport,H,Average Total Weekly Hours,4328179.777958278
2011,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3221492.0504003935
2011,West Midlands,Telecoms,J,Average Total Weekly Hours,2475864.735401052
2011,West Midlands,Financial Services,K,Average Total Weekly Hours,2520709.40986882
2011,West Midlands,Financial Services,L,Average Total Weekly Hours,933163.9211152385
2011,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,4444210.642641626
2011,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,5575258.421247138
2011,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3515997.6323577645
2011,West Midlands,Education and Health,P,Average Total Weekly Hours,5678756.347921657
2011,West Midlands,Education and Health,Q,Average Total Weekly Hours,9067377.854542565
2011,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1325450.4078763346
2011,West Midlands,Other Services,S and T,Average Total Weekly Hours,2128867.71874296
2012,West Midlands,All Industries,All Industries,Average Total Weekly Hours,79075417.44153956
2012,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2756580.046205264
2012,West Midlands,Manufacturing,C,Average Total Weekly Hours,10315130.124605699
2012,West Midlands,Construction,F,Average Total Weekly Hours,5709339.534517478
2012,West Midlands,Trade,G,Average Total Weekly Hours,13186838.330364397
2012,West Midlands,Transport,H,Average Total Weekly Hours,4764996.6974556185
2012,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3594788.03379618
2012,West Midlands,Telecoms,J,Average Total Weekly Hours,2302399.8115670327
2012,West Midlands,Financial Services,K,Average Total Weekly Hours,2313896.9772369605
2012,West Midlands,Financial Services,L,Average Total Weekly Hours,1082593.4543771797
2012,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,4686218.468485408
2012,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,6054875.727589347
2012,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3448302.2293836847
2012,West Midlands,Education and Health,P,Average Total Weekly Hours,6062738.633846378
2012,West Midlands,Education and Health,Q,Average Total Weekly Hours,9370981.904238407
2012,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1484981.3711539796
2012,West Midlands,Other Services,S and T,Average Total Weekly Hours,1940756.0967165395
2013,West Midlands,All Industries,All Industries,Average Total Weekly Hours,80687089.59175122
2013,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2406811.9695220655
2013,West Midlands,Manufacturing,C,Average Total Weekly Hours,10928944.785707789
2013,West Midlands,Construction,F,Average Total Weekly Hours,6261236.602625169
2013,West Midlands,Trade,G,Average Total Weekly Hours,13757305.821369065
2013,West Midlands,Transport,H,Average Total Weekly Hours,4594785.84076993
2013,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3561209.315526994
2013,West Midlands,Telecoms,J,Average Total Weekly Hours,2372503.4233451188
2013,West Midlands,Financial Services,K,Average Total Weekly Hours,2448879.5484213503
2013,West Midlands,Financial Services,L,Average Total Weekly Hours,1081939.144171727
2013,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,4948598.786071021
2013,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,5904389.84825162
2013,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3470028.682088272
2013,West Midlands,Education and Health,P,Average Total Weekly Hours,5869105.073896063
2013,West Midlands,Education and Health,Q,Average Total Weekly Hours,9355451.254552439
2013,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1748895.865499938
2013,West Midlands,Other Services,S and T,Average Total Weekly Hours,1977003.629932662
2014,West Midlands,All Industries,All Industries,Average Total Weekly Hours,82260848.7620009
2014,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2865753.8869328597
2014,West Midlands,Manufacturing,C,Average Total Weekly Hours,11060844.406316603
2014,West Midlands,Construction,F,Average Total Weekly Hours,5873826.81763414
2014,West Midlands,Trade,G,Average Total Weekly Hours,13981895.812745782
2014,West Midlands,Transport,H,Average Total Weekly Hours,4621176.639833079
2014,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3755628.8441501656
2014,West Midlands,Telecoms,J,Average Total Weekly Hours,2641923.422858228
2014,West Midlands,Financial Services,K,Average Total Weekly Hours,2206702.221092691
2014,West Midlands,Financial Services,L,Average Total Weekly Hours,1177360.7770455081
2014,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,5396938.108080834
2014,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,6088268.676858328
2014,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3431287.692650607
2014,West Midlands,Education and Health,P,Average Total Weekly Hours,6180863.932008784
2014,West Midlands,Education and Health,Q,Average Total Weekly Hours,9542421.323057223
2014,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1606877.18257388
2014,West Midlands,Other Services,S and T,Average Total Weekly Hours,1829079.0181621853
2015,West Midlands,All Industries,All Industries,Average Total Weekly Hours,84808980.55821806
2015,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2757225.776395529
2015,West Midlands,Manufacturing,C,Average Total Weekly Hours,11521598.871297928
2015,West Midlands,Construction,F,Average Total Weekly Hours,6327830.122128649
2015,West Midlands,Trade,G,Average Total Weekly Hours,13745540.797206767
2015,West Midlands,Transport,H,Average Total Weekly Hours,5416473.550027739
2015,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,4043318.4401489636
2015,West Midlands,Telecoms,J,Average Total Weekly Hours,2523423.124113813
2015,West Midlands,Financial Services,K,Average Total Weekly Hours,2173283.738352554
2015,West Midlands,Financial Services,L,Average Total Weekly Hours,1183775.0966086953
2015,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,5839575.719570064
2015,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,6489096.216918081
2015,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3339243.264853973
2015,West Midlands,Education and Health,P,Average Total Weekly Hours,6171295.462574195
2015,West Midlands,Education and Health,Q,Average Total Weekly Hours,9111422.78273167
2015,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1802953.654948398
2015,West Midlands,Other Services,S and T,Average Total Weekly Hours,2362923.940341044
2016,West Midlands,All Industries,All Industries,Average Total Weekly Hours,85624503.74819075
2016,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2546114.823459708
2016,West Midlands,Manufacturing,C,Average Total Weekly Hours,11238144.027803887
2016,West Midlands,Construction,F,Average Total Weekly Hours,6052603.5177852325
2016,West Midlands,Trade,G,Average Total Weekly Hours,13441191.664299369
2016,West Midlands,Transport,H,Average Total Weekly Hours,5743500.9123824835
2016,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,3971504.168232578
2016,West Midlands,Telecoms,J,Average Total Weekly Hours,2603908.945887152
2016,West Midlands,Financial Services,K,Average Total Weekly Hours,2157482.5733641004
2016,West Midlands,Financial Services,L,Average Total Weekly Hours,1192504.2780805524
2016,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,6123901.921114546
2016,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,6989722.667339688
2016,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3353318.343987965
2016,West Midlands,Education and Health,P,Average Total Weekly Hours,6244369.972826007
2016,West Midlands,Education and Health,Q,Average Total Weekly Hours,9947305.150722573
2016,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1693116.8590292167
2016,West Midlands,Other Services,S and T,Average Total Weekly Hours,2325813.92187568
2017,West Midlands,All Industries,All Industries,Average Total Weekly Hours,87448126.19288117
2017,West Midlands,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2915187.3444022546
2017,West Midlands,Manufacturing,C,Average Total Weekly Hours,10929202.405580433
2017,West Midlands,Construction,F,Average Total Weekly Hours,6206806.6780467145
2017,West Midlands,Trade,G,Average Total Weekly Hours,13810737.052932885
2017,West Midlands,Transport,H,Average Total Weekly Hours,5644870.986409533
2017,West Midlands,Leisure and Entertainment,I,Average Total Weekly Hours,4396122.282587276
2017,West Midlands,Telecoms,J,Average Total Weekly Hours,2643632.6596237156
2017,West Midlands,Financial Services,K,Average Total Weekly Hours,2154418.4470813805
2017,West Midlands,Financial Services,L,Average Total Weekly Hours,1208764.3312839167
2017,West Midlands,Professional and Business Services,M,Average Total Weekly Hours,6086924.270390697
2017,West Midlands,Professional and Business Services,N,Average Total Weekly Hours,6992325.84663019
2017,West Midlands,Public Aadmin and Defence,O,Average Total Weekly Hours,3242234.9721617284
2017,West Midlands,Education and Health,P,Average Total Weekly Hours,6268469.092001446
2017,West Midlands,Education and Health,Q,Average Total Weekly Hours,10283280.406604834
2017,West Midlands,Leisure and Entertainment,R,Average Total Weekly Hours,1726789.7554362565
2017,West Midlands,Other Services,S and T,Average Total Weekly Hours,2938359.6617079056
1997,East,All Industries,All Industries,Average Total Weekly Hours,76301221.78226423
1997,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2861124.9308280386
1997,East,Manufacturing,C,Average Total Weekly Hours,12475669.244501576
1997,East,Construction,F,Average Total Weekly Hours,7049890.647655907
1997,East,Trade,G,Average Total Weekly Hours,13468984.95459621
1997,East,Transport,H,Average Total Weekly Hours,4529848.700412571
1997,East,Leisure and Entertainment,I,Average Total Weekly Hours,4354651.239733983
1997,East,Telecoms,J,Average Total Weekly Hours,2887059.607247489
1997,East,Financial Services,K,Average Total Weekly Hours,2727293.8271487504
1997,East,Financial Services,L,Average Total Weekly Hours,565816.7090642818
1997,East,Professional and Business Services,M,Average Total Weekly Hours,4752795.738309472
1997,East,Professional and Business Services,N,Average Total Weekly Hours,3480571.007605545
1997,East,Public Aadmin and Defence,O,Average Total Weekly Hours,3650962.3470364325
1997,East,Education and Health,P,Average Total Weekly Hours,3877685.371991273
1997,East,Education and Health,Q,Average Total Weekly Hours,5738090.895843709
1997,East,Leisure and Entertainment,R,Average Total Weekly Hours,1442990.6780547407
1997,East,Other Services,S and T,Average Total Weekly Hours,2437785.882234248
1998,East,All Industries,All Industries,Average Total Weekly Hours,78206310.22153732
1998,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2803531.0459375
1998,East,Manufacturing,C,Average Total Weekly Hours,12724016.007835308
1998,East,Construction,F,Average Total Weekly Hours,7000441.568400204
1998,East,Trade,G,Average Total Weekly Hours,13556498.497910796
1998,East,Transport,H,Average Total Weekly Hours,4590368.038017686
1998,East,Leisure and Entertainment,I,Average Total Weekly Hours,3864997.672992211
1998,East,Telecoms,J,Average Total Weekly Hours,3467481.4705211557
1998,East,Financial Services,K,Average Total Weekly Hours,2954699.9169758856
1998,East,Financial Services,L,Average Total Weekly Hours,524814.1006736408
1998,East,Professional and Business Services,M,Average Total Weekly Hours,5116508.223801402
1998,East,Professional and Business Services,N,Average Total Weekly Hours,4314179.037764864
1998,East,Public Aadmin and Defence,O,Average Total Weekly Hours,3682337.6836483227
1998,East,Education and Health,P,Average Total Weekly Hours,4002482.4365852475
1998,East,Education and Health,Q,Average Total Weekly Hours,5676206.106696152
1998,East,Leisure and Entertainment,R,Average Total Weekly Hours,1391175.49899194
1998,East,Other Services,S and T,Average Total Weekly Hours,2536572.914785004
1999,East,All Industries,All Industries,Average Total Weekly Hours,77820492.30286235
1999,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2496063.699956034
1999,East,Manufacturing,C,Average Total Weekly Hours,12016259.201505847
1999,East,Construction,F,Average Total Weekly Hours,7029151.761681752
1999,East,Trade,G,Average Total Weekly Hours,13184917.439073026
1999,East,Transport,H,Average Total Weekly Hours,4757694.114685772
1999,East,Leisure and Entertainment,I,Average Total Weekly Hours,3733773.307895773
1999,East,Telecoms,J,Average Total Weekly Hours,3615504.65759167
1999,East,Financial Services,K,Average Total Weekly Hours,2829059.6475405092
1999,East,Financial Services,L,Average Total Weekly Hours,647911.913184028
1999,East,Professional and Business Services,M,Average Total Weekly Hours,5253718.780180448
1999,East,Professional and Business Services,N,Average Total Weekly Hours,4427263.117597319
1999,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4019570.2841649083
1999,East,Education and Health,P,Average Total Weekly Hours,3913859.995200587
1999,East,Education and Health,Q,Average Total Weekly Hours,5854599.706159352
1999,East,Leisure and Entertainment,R,Average Total Weekly Hours,1510732.7836137132
1999,East,Other Services,S and T,Average Total Weekly Hours,2530411.89283161
2000,East,All Industries,All Industries,Average Total Weekly Hours,79573328.24344954
2000,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2195299.1118248026
2000,East,Manufacturing,C,Average Total Weekly Hours,11861709.478993505
2000,East,Construction,F,Average Total Weekly Hours,7437365.001904058
2000,East,Trade,G,Average Total Weekly Hours,13644231.151463289
2000,East,Transport,H,Average Total Weekly Hours,4889581.371012314
2000,East,Leisure and Entertainment,I,Average Total Weekly Hours,3856716.506460348
2000,East,Telecoms,J,Average Total Weekly Hours,3779671.238077615
2000,East,Financial Services,K,Average Total Weekly Hours,2794991.369609342
2000,East,Financial Services,L,Average Total Weekly Hours,710232.9443726917
2000,East,Professional and Business Services,M,Average Total Weekly Hours,5462622.226838933
2000,East,Professional and Business Services,N,Average Total Weekly Hours,4915635.535437899
2000,East,Public Aadmin and Defence,O,Average Total Weekly Hours,3779550.221858743
2000,East,Education and Health,P,Average Total Weekly Hours,4365737.846045458
2000,East,Education and Health,Q,Average Total Weekly Hours,5934572.051424259
2000,East,Leisure and Entertainment,R,Average Total Weekly Hours,1647262.3086883714
2000,East,Other Services,S and T,Average Total Weekly Hours,2298149.879437929
2001,East,All Industries,All Industries,Average Total Weekly Hours,80797913.16343984
2001,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,1903221.949175164
2001,East,Manufacturing,C,Average Total Weekly Hours,11804868.19081716
2001,East,Construction,F,Average Total Weekly Hours,7613465.450007906
2001,East,Trade,G,Average Total Weekly Hours,13999078.223269094
2001,East,Transport,H,Average Total Weekly Hours,4903123.7535352325
2001,East,Leisure and Entertainment,I,Average Total Weekly Hours,3855108.8938037027
2001,East,Telecoms,J,Average Total Weekly Hours,4048498.4559106217
2001,East,Financial Services,K,Average Total Weekly Hours,2860673.757483179
2001,East,Financial Services,L,Average Total Weekly Hours,763971.151615372
2001,East,Professional and Business Services,M,Average Total Weekly Hours,5793200.626422392
2001,East,Professional and Business Services,N,Average Total Weekly Hours,4848652.728442636
2001,East,Public Aadmin and Defence,O,Average Total Weekly Hours,3854831.0484910985
2001,East,Education and Health,P,Average Total Weekly Hours,4326160.021581187
2001,East,Education and Health,Q,Average Total Weekly Hours,6288329.368568549
2001,East,Leisure and Entertainment,R,Average Total Weekly Hours,1660269.840369145
2001,East,Other Services,S and T,Average Total Weekly Hours,2274459.70394741
2002,East,All Industries,All Industries,Average Total Weekly Hours,79673109.04566811
2002,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2068122.8475792843
2002,East,Manufacturing,C,Average Total Weekly Hours,11119696.989911154
2002,East,Construction,F,Average Total Weekly Hours,8023411.433923915
2002,East,Trade,G,Average Total Weekly Hours,13791010.981490765
2002,East,Transport,H,Average Total Weekly Hours,4772607.679823797
2002,East,Leisure and Entertainment,I,Average Total Weekly Hours,3625498.980254918
2002,East,Telecoms,J,Average Total Weekly Hours,3773656.927615904
2002,East,Financial Services,K,Average Total Weekly Hours,2734604.093842935
2002,East,Financial Services,L,Average Total Weekly Hours,780794.380509648
2002,East,Professional and Business Services,M,Average Total Weekly Hours,5624461.287330081
2002,East,Professional and Business Services,N,Average Total Weekly Hours,4808982.77813774
2002,East,Public Aadmin and Defence,O,Average Total Weekly Hours,3992651.8270129617
2002,East,Education and Health,P,Average Total Weekly Hours,4329958.545947646
2002,East,Education and Health,Q,Average Total Weekly Hours,6388627.689694363
2002,East,Leisure and Entertainment,R,Average Total Weekly Hours,1647231.7215247508
2002,East,Other Services,S and T,Average Total Weekly Hours,2191790.8810682427
2003,East,All Industries,All Industries,Average Total Weekly Hours,80091461.56240666
2003,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2135666.1557597155
2003,East,Manufacturing,C,Average Total Weekly Hours,10359411.705918787
2003,East,Construction,F,Average Total Weekly Hours,8246020.791264279
2003,East,Trade,G,Average Total Weekly Hours,14228412.989074886
2003,East,Transport,H,Average Total Weekly Hours,4684921.556745919
2003,East,Leisure and Entertainment,I,Average Total Weekly Hours,3622720.63589711
2003,East,Telecoms,J,Average Total Weekly Hours,3895074.5451926696
2003,East,Financial Services,K,Average Total Weekly Hours,2718569.5620939597
2003,East,Financial Services,L,Average Total Weekly Hours,801437.2391619241
2003,East,Professional and Business Services,M,Average Total Weekly Hours,5693256.497466447
2003,East,Professional and Business Services,N,Average Total Weekly Hours,5130203.409922518
2003,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4198900.203587281
2003,East,Education and Health,P,Average Total Weekly Hours,4367719.583877003
2003,East,Education and Health,Q,Average Total Weekly Hours,6209050.419467102
2003,East,Leisure and Entertainment,R,Average Total Weekly Hours,1581913.6900691055
2003,East,Other Services,S and T,Average Total Weekly Hours,2218182.5769079356
2004,East,All Industries,All Industries,Average Total Weekly Hours,80357659.6243804
2004,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2199850.712511029
2004,East,Manufacturing,C,Average Total Weekly Hours,10085658.944352873
2004,East,Construction,F,Average Total Weekly Hours,7679281.962977037
2004,East,Trade,G,Average Total Weekly Hours,14285342.390109908
2004,East,Transport,H,Average Total Weekly Hours,4565971.3135587005
2004,East,Leisure and Entertainment,I,Average Total Weekly Hours,3878410.2618238423
2004,East,Telecoms,J,Average Total Weekly Hours,3761965.8224757696
2004,East,Financial Services,K,Average Total Weekly Hours,2692373.401260623
2004,East,Financial Services,L,Average Total Weekly Hours,867010.5751508187
2004,East,Professional and Business Services,M,Average Total Weekly Hours,5987123.299323946
2004,East,Professional and Business Services,N,Average Total Weekly Hours,5085457.641470031
2004,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4381659.639694002
2004,East,Education and Health,P,Average Total Weekly Hours,4667470.267556513
2004,East,Education and Health,Q,Average Total Weekly Hours,6610961.237111315
2004,East,Leisure and Entertainment,R,Average Total Weekly Hours,1520301.3184405186
2004,East,Other Services,S and T,Average Total Weekly Hours,2088820.8365634743
2005,East,All Industries,All Industries,Average Total Weekly Hours,81603857.65414523
2005,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2041960.8992148465
2005,East,Manufacturing,C,Average Total Weekly Hours,9751035.864141816
2005,East,Construction,F,Average Total Weekly Hours,7732476.541433859
2005,East,Trade,G,Average Total Weekly Hours,14128554.700181708
2005,East,Transport,H,Average Total Weekly Hours,4764433.794045448
2005,East,Leisure and Entertainment,I,Average Total Weekly Hours,3757979.811995358
2005,East,Telecoms,J,Average Total Weekly Hours,3901888.1568918345
2005,East,Financial Services,K,Average Total Weekly Hours,2712971.1940358095
2005,East,Financial Services,L,Average Total Weekly Hours,945357.0712111134
2005,East,Professional and Business Services,M,Average Total Weekly Hours,6321744.29349314
2005,East,Professional and Business Services,N,Average Total Weekly Hours,5516620.890096839
2005,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4468191.762424999
2005,East,Education and Health,P,Average Total Weekly Hours,5026003.764438709
2005,East,Education and Health,Q,Average Total Weekly Hours,7001751.289369591
2005,East,Leisure and Entertainment,R,Average Total Weekly Hours,1510557.3995998586
2005,East,Other Services,S and T,Average Total Weekly Hours,2022330.2215702815
2006,East,All Industries,All Industries,Average Total Weekly Hours,82854075.85203446
2006,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2206141.2222291613
2006,East,Manufacturing,C,Average Total Weekly Hours,9424851.370976215
2006,East,Construction,F,Average Total Weekly Hours,8280812.166766194
2006,East,Trade,G,Average Total Weekly Hours,13869977.612615943
2006,East,Transport,H,Average Total Weekly Hours,4928284.515730694
2006,East,Leisure and Entertainment,I,Average Total Weekly Hours,3677151.0584167633
2006,East,Telecoms,J,Average Total Weekly Hours,4016403.0221872483
2006,East,Financial Services,K,Average Total Weekly Hours,2531872.267662787
2006,East,Financial Services,L,Average Total Weekly Hours,1071118.2655818067
2006,East,Professional and Business Services,M,Average Total Weekly Hours,6582818.156554693
2006,East,Professional and Business Services,N,Average Total Weekly Hours,5729433.877417123
2006,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4172060.0927911988
2006,East,Education and Health,P,Average Total Weekly Hours,5244292.232928748
2006,East,Education and Health,Q,Average Total Weekly Hours,7183522.7224526275
2006,East,Leisure and Entertainment,R,Average Total Weekly Hours,1632297.6209075782
2006,East,Other Services,S and T,Average Total Weekly Hours,2303039.646815686
2007,East,All Industries,All Industries,Average Total Weekly Hours,82836448.13783434
2007,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2162957.3207652587
2007,East,Manufacturing,C,Average Total Weekly Hours,9001830.910162091
2007,East,Construction,F,Average Total Weekly Hours,8217253.688582885
2007,East,Trade,G,Average Total Weekly Hours,13595706.707402594
2007,East,Transport,H,Average Total Weekly Hours,4512805.33008861
2007,East,Leisure and Entertainment,I,Average Total Weekly Hours,4055455.8505623294
2007,East,Telecoms,J,Average Total Weekly Hours,3449746.0999420024
2007,East,Financial Services,K,Average Total Weekly Hours,2662901.015289658
2007,East,Financial Services,L,Average Total Weekly Hours,1111322.167055741
2007,East,Professional and Business Services,M,Average Total Weekly Hours,7028361.230322264
2007,East,Professional and Business Services,N,Average Total Weekly Hours,6385086.506266179
2007,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4150632.968611247
2007,East,Education and Health,P,Average Total Weekly Hours,5242943.737773174
2007,East,Education and Health,Q,Average Total Weekly Hours,7556914.814721409
2007,East,Leisure and Entertainment,R,Average Total Weekly Hours,1673837.9329368316
2007,East,Other Services,S and T,Average Total Weekly Hours,2028691.8573520551
2008,East,All Industries,All Industries,Average Total Weekly Hours,83148650.7404114
2008,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2068753.153638598
2008,East,Manufacturing,C,Average Total Weekly Hours,8867449.514726613
2008,East,Construction,F,Average Total Weekly Hours,8722190.196835704
2008,East,Trade,G,Average Total Weekly Hours,14201827.827336758
2008,East,Transport,H,Average Total Weekly Hours,4545825.433213995
2008,East,Leisure and Entertainment,I,Average Total Weekly Hours,3955537.978265338
2008,East,Telecoms,J,Average Total Weekly Hours,3102765.7869928675
2008,East,Financial Services,K,Average Total Weekly Hours,2575303.3014591844
2008,East,Financial Services,L,Average Total Weekly Hours,1125335.8463093755
2008,East,Professional and Business Services,M,Average Total Weekly Hours,6592020.111934312
2008,East,Professional and Business Services,N,Average Total Weekly Hours,6707224.890021097
2008,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4043740.4108319944
2008,East,Education and Health,P,Average Total Weekly Hours,5235451.3805285655
2008,East,Education and Health,Q,Average Total Weekly Hours,7655167.9151866585
2008,East,Leisure and Entertainment,R,Average Total Weekly Hours,1549656.5569706606
2008,East,Other Services,S and T,Average Total Weekly Hours,2200400.436159678
2009,East,All Industries,All Industries,Average Total Weekly Hours,81107169.57098627
2009,East,Natural Resources and Utilities,"A, B, D, and E",Average Total Weekly Hours,2191467.8267881293
2009,East,Manufacturing,C,Average Total Weekly Hours,8248700.604227959
2009,East,Construction,F,Average Total Weekly Hours,8394615.552398805
2009,East,Trade,G,Average Total Weekly Hours,13381495.471467288
2009,East,Transport,H,Average Total Weekly Hours,4863517.426402037
2009,East,Leisure and Entertainment,I,Average Total Weekly Hours,3855862.303956913
2009,East,Telecoms,J,Average Total Weekly Hours,3169659.5541972844
2009,East,Financial Services,K,Average Total Weekly Hours,2471661.7720260527
2009,East,Financial Services,L,Average Total Weekly Hours,1227948.9269769697
2009,East,Professional and Business Services,M,Average Total Weekly Hours,6145806.59121095
2009,East,Professional and Business Services,N,Average Total Weekly Hours,6226220.82657736
2009,East,Public Aadmin and Defence,O,Average Total Weekly Hours,4121167.414167783
2009,East,Education and Health,P,Average Total Weekly Hours,5230691.068949605
2009,East,Education and Health,Q,Average Total Weekly Hours,7656766.777050557
2009,East,Leisure and Entertainment,R,Average Total Weekly Hours,1597503.9253646787
2009,East,Other Services,S and T,Average Total Weekly Hours,2324083.5292238817
2010,East,All Industries,All Industries,Average Total Weekly Hours,80822927.94012111
